User_ID,Age_Group,Gender,Location,Preferred_Genres,Listening_Time_Pattern,Device_Usage,Subscription_Type,Track_ID,Track_Name,Artist_Name,Album_Name,Release_Year,Total_Streams,Top_Genres,Skip_Rate,Replay_Rate,Avg_Listening_Duration,Regional_Popularity
1,18-25,Male,Mumbai,"Bollywood, Pop",Evening,Mobile,Premium,101,Kesariya,Arijit Singh,Brahmāstra,2022,5000000,Bollywood,10.5,20.3,3:45,High in Maharashtra
2,26-35,Female,Delhi,"Pop, Indie",Morning,Smart Speaker,Premium,102,Blinding Lights,The Weeknd,After Hours,2020,3000000,Pop,15.0,10.0,3:20,Moderate in NCR
3,18-25,Female,Bangalore,"Regional, Bollywood",Night,Mobile,Free,103,Rowdy Baby,"Dhanush, Dhee",Maari 2,2018,4000000,Regional,8.0,25.0,3:50,High in Karnataka
4,36-45,Male,Chennai,"Classical, Regional",Afternoon,Desktop,Premium,104,Enjoy Enjaami,"Dhee, Arivu",Single,2021,4500000,Regional,5.0,18.0,4:10,High in Tamil Nadu
5,26-35,Male,Kolkata,"Bollywood, Retro",Evening,Mobile,Free,105,Channa Mereya,Arijit Singh,Ae Dil Hai Mushkil,2016,3500000,Bollywood,12.0,30.0,4:00,Moderate in West Bengal
6,18-25,Male,Hyderabad,"Bollywood, Indie",Night,Desktop,Premium,101,Kesariya,Arijit Singh,Brahmāstra,2022,5000000,Bollywood,10.5,20.3,3:45,High in Maharashtra
7,26-35,Female,Jaipur,"Regional, Folk",Afternoon,Smart Speaker,Premium,102,Blinding Lights,The Weeknd,After Hours,2020,3000000,Pop,15.0,10.0,3:20,Moderate in NCR
8,18-25,Female,Hyderabad,"Classical, Jazz",Evening,Smart Speaker,Free,103,Rowdy Baby,"Dhanush, Dhee",Maari 2,2018,4000000,Regional,8.0,25.0,3:50,High in Karnataka
9,36-45,Male,Pune,"Regional, Folk",Morning,Desktop,Premium,104,Enjoy Enjaami,"Dhee, Arivu",Single,2021,4500000,Regional,5.0,18.0,4:10,High in Tamil Nadu
10,26-35,Male,Ahmedabad,"Bollywood, Indie",Morning,Desktop,Free,105,Channa Mereya,Arijit Singh,Ae Dil Hai Mushkil,2016,3500000,Bollywood,12.0,30.0,4:00,Moderate in West Bengal
